Age,Annual_Income,Credit_Score,Loan_Amount,Employment_Years,Dependents,Education,Self_Employed,Loan_Status
41.45128205128205,87559.0,677.0,67443.0,26,1,not graduate,no,Approved
44.0,25955.0,661.0,11896.0,16,1,graduate,no,Approved
52.0,18000.0,784.0,19197.0,27,4,graduate,no,Approved
21.0,28647.0,652.0,58469.0,0,3,graduate,no,Approved
21.0,78620.0,772.0,46738.0,0,4,graduate,no,Approved
22.0,81427.0,757.0,5513.0,0,3,graduate,yes,Approved
43.0,34790.0,741.0,27732.0,21,0,graduate,no,Approved
36.0,87913.0,811.0,72007.81615120274,15,1,graduate,no,Approved
21.0,52529.0,653.0,124231.0,0,2,not graduate,no,Approved
35.0,42820.0,721.0,19804.0,14,2,graduate,no,Approved
55.0,47461.0,598.0,64400.0,35,4,graduate,no,Approved
43.0,68924.0,730.0,118437.0,18,3,graduate,no,Approved
31.0,55405.0,737.0,100299.0,4,3,not graduate,no,Approved
53.0,18000.0,625.0,14986.0,33,3,not graduate,no,Approved
25.0,73247.0,623.0,110879.0,4,0,graduate,no,Approved
25.0,91640.0,651.0,139752.0,1,2,graduate,no,Rejected
31.0,33229.0,683.0,74823.0,9,3,graduate,no,Approved
48.0,20154.0,625.0,44537.0,21,2,not graduate,no,Approved
53.0,64452.0,714.0,48033.0,30,0,graduate,no,Approved
29.0,54639.0,613.0,92211.0,5,3,graduate,no,Rejected
40.0,44894.0,606.0,5090.0,11,0,graduate,no,Approved
46.0,39504.0,667.0,26621.0,23,4,graduate,no,Approved
44.0,43334.0,639.0,66045.0,16,0,graduate,no,Approved
33.0,33494.0,676.0,55796.0,11,4,not graduate,yes,Approved
41.45128205128205,40775.0,757.0,46293.0,35,1,graduate,no,Approved
57.0,62540.0,749.0,54305.0,34,1,graduate,no,Approved
35.0,38299.0,680.0,72965.0,10,3,graduate,no,Approved
36.0,59109.0,488.0,72676.0,9,4,graduate,no,Rejected
36.0,33314.0,717.0,8848.0,13,1,not graduate,yes,Approved
43.0,75329.0,700.0,87051.0,16,2,not graduate,no,Approved
53.0,28113.0,621.0,55428.0,33,3,graduate,no,Approved
45.0,98224.0,738.0,169359.0,19,1,not graduate,no,Approved
28.0,42379.0,722.0,95490.0,2,2,not graduate,no,Approved
23.0,21249.0,836.0,7441.0,0,3,graduate,no,Approved
33.0,31458.0,715.0,43171.0,12,4,graduate,no,Approved
33.0,89751.0,834.0,110761.0,7,4,graduate,no,Approved
47.0,60486.0,626.0,50255.0,22,3,graduate,no,Approved
56.0,79273.0,582.0,56073.0,28,4,graduate,no,Approved
44.0,59476.0,836.0,54844.0,24,0,graduate,no,Approved
31.0,22471.0,606.0,5000.0,2,4,graduate,no,Rejected
24.0,24638.0,570.0,37255.0,1,1,graduate,no,Rejected
22.0,40422.0,728.0,11182.0,2,2,graduate,yes,Approved
47.0,75376.0,755.0,117384.0,20,0,graduate,no,Approved
40.0,88650.0,577.0,79222.0,14,1,not graduate,no,Rejected
58.0,51824.0,676.0,45091.0,35,0,graduate,no,Approved
53.0,21931.0,604.0,19207.0,28,0,graduate,no,Approved
33.0,102592.0,791.0,180000.0,9,0,graduate,no,Approved
41.0,53193.0,663.0,48047.0,19,3,graduate,yes,Approved
35.0,30258.0,695.0,52078.0,12,1,graduate,no,Approved
51.0,51323.0,835.0,76255.0,28,2,graduate,no,Approved
44.0,59708.0,550.0,62764.0,18,2,not graduate,no,Approved
42.0,31512.0,747.0,24521.0,13,1,graduate,no,Approved
40.0,69140.0,678.0,119118.0,13,1,graduate,no,Approved
29.0,59204.0,667.0,72680.0,9,2,graduate,no,Approved
58.0,60353.0,772.0,20078.0,32,3,graduate,no,Approved
51.0,45756.0,663.0,67849.0,26,3,graduate,no,Approved
53.0,30656.0,708.0,43199.0,29,1,graduate,no,Approved
27.0,81145.0,647.0,142491.0,0,1,graduate,no,Rejected
60.0,68048.0,685.0273504273505,121139.0,35,2,not graduate,yes,Approved
37.0,24014.0,623.0,21347.0,8,3,graduate,no,Approved
36.0,53747.0,666.0,90314.0,9,2,graduate,no,Approved
35.0,42311.0,691.0,28452.0,9,3,graduate,yes,Approved
27.0,77826.0,561.0,148542.0,2,1,graduate,no,Rejected
56.0,49289.0,636.0,66803.0,31,2,not graduate,yes,Approved
42.0,71959.0,673.0,43029.0,17,2,graduate,no,Approved
53.0,60633.0,634.0,40501.0,32,3,not graduate,no,Approved
51.0,69733.0,746.0,51148.0,29,4,graduate,no,Approved
40.0,42590.0,465.0,26097.0,16,0,graduate,no,Rejected
57.0,45738.0,656.0,23408.0,28,2,graduate,no,Approved
46.0,89111.0,661.0,128262.0,26,4,graduate,yes,Approved
26.0,49693.0,672.0,85438.0,0,1,graduate,yes,Approved
24.0,18000.0,726.0,19706.0,4,3,not graduate,no,Approved
37.0,57275.01202749141,645.0,89589.0,8,0,not graduate,no,Approved
39.0,53553.0,596.0,99995.0,17,4,not graduate,no,Approved
57.0,65397.0,655.0,59923.0,32,3,graduate,no,Approved
39.0,75909.0,663.0,89615.0,15,0,graduate,no,Approved
21.0,70407.0,694.0,67298.0,0,2,graduate,no,Approved
23.0,68551.0,743.0,126968.0,2,2,graduate,no,Approved
52.0,57407.0,629.0,95763.0,31,3,graduate,no,Approved
40.0,65538.0,635.0,109259.0,19,3,not graduate,no,Approved
50.0,25622.0,643.0,39830.0,23,2,graduate,no,Rejected
28.0,52233.0,669.0,54785.0,0,0,not graduate,no,Rejected
45.0,51107.0,770.0,73891.0,19,4,graduate,no,Approved
50.0,54469.0,711.0,72007.81615120274,26,3,graduate,no,Approved
52.0,73494.0,702.0,29443.0,25,0,not graduate,yes,Approved
34.0,18000.0,683.0,13969.0,7,0,graduate,no,Approved
27.0,57275.01202749141,759.0,87517.0,4,2,graduate,no,Approved
30.0,45199.0,602.0,51455.0,7,4,graduate,no,Approved
50.0,57275.01202749141,623.0,93231.0,27,2,graduate,no,Approved
46.0,37557.0,630.0,8975.0,25,1,graduate,no,Approved
34.0,93617.0,637.0,35577.0,14,0,graduate,no,Approved
48.0,33531.0,721.0,43349.0,26,4,graduate,no,Approved
36.0,91718.0,665.0,131805.0,15,2,graduate,no,Approved
34.0,43695.0,791.0,37484.0,11,3,graduate,no,Approved
32.0,89045.0,664.0,56281.0,10,1,graduate,no,Rejected
39.0,25263.0,545.0,16433.0,12,3,not graduate,no,Rejected
23.0,56574.0,688.0,23346.0,0,2,graduate,yes,Approved
30.0,18000.0,761.0,11617.0,4,1,graduate,no,Approved
32.0,68913.0,577.0,143409.0,3,4,not graduate,no,Rejected
39.0,64850.0,660.0,66309.0,10,2,not graduate,yes,Approved
37.0,46828.0,656.0,72007.81615120274,17,4,graduate,no,Approved
32.0,111614.0,685.0273504273505,180000.0,9,0,graduate,no,Approved
56.0,95292.0,629.0,180000.0,29,4,graduate,no,Approved
57.0,56702.0,735.0,82327.0,35,1,not graduate,yes,Approved
28.0,50139.0,596.0,83132.0,0,4,graduate,no,Rejected
53.0,21666.0,686.0,23056.0,27,1,not graduate,no,Approved
52.0,62341.0,704.0,114917.0,24,1,graduate,no,Approved
25.0,44830.0,734.0,72007.81615120274,0,3,graduate,no,Approved
60.0,47018.0,617.0,9644.0,34,0,graduate,no,Approved
27.0,55776.0,466.0,65341.0,3,1,not graduate,no,Rejected
22.0,55406.0,610.0,72007.81615120274,2,4,graduate,no,Rejected
36.0,37610.0,591.0,34789.0,8,0,graduate,yes,Approved
25.0,79013.0,773.0,40282.0,0,4,graduate,no,Approved
43.0,37027.0,724.0,46792.0,17,0,graduate,no,Approved
21.0,71654.0,689.0,120211.0,0,0,graduate,yes,Approved
51.0,31217.0,680.0,43855.0,30,4,graduate,no,Approved
55.0,51524.0,673.0,26987.0,28,0,graduate,no,Approved
58.0,79072.0,846.0,66579.0,33,1,not graduate,no,Approved
52.0,50533.0,572.0,102247.0,29,0,not graduate,no,Approved
47.0,73385.0,658.0,148523.0,24,4,not graduate,no,Approved
24.0,21490.0,762.0,43604.0,0,1,graduate,no,Approved
43.0,63678.0,754.0,113087.0,16,3,graduate,no,Approved
57.0,56810.0,795.0,34907.0,28,2,graduate,no,Approved
59.0,35034.0,717.0,70317.0,35,4,graduate,yes,Approved
33.0,24655.0,670.0,13231.0,4,2,graduate,yes,Approved
45.0,69049.0,704.0,49668.0,19,3,graduate,no,Approved
41.45128205128205,57275.01202749141,527.0,70598.0,6,1,graduate,no,Rejected
33.0,56043.0,752.0,72476.0,12,4,graduate,no,Approved
40.0,57513.0,600.0,57276.0,20,2,graduate,yes,Approved
54.0,43045.0,611.0,39363.0,25,2,not graduate,no,Approved
51.0,43461.0,733.0,16781.0,25,3,not graduate,no,Approved
32.0,45049.0,559.0,90628.0,10,3,graduate,no,Rejected
43.0,43125.0,589.0,68916.0,14,1,graduate,no,Approved
44.0,68512.0,583.0,94279.0,16,4,graduate,no,Approved
39.0,47827.0,557.0,32963.0,16,4,graduate,no,Approved
45.0,81291.0,652.0,118534.0,18,1,graduate,yes,Approved
32.0,47096.0,548.0,53710.0,7,1,graduate,no,Rejected
55.0,67535.0,792.0,132481.0,33,3,graduate,yes,Approved
29.0,45864.0,784.0,8094.0,7,3,not graduate,no,Approved
49.0,32225.0,768.0,72007.81615120274,24,0,graduate,no,Approved
59.0,91189.0,755.0,150119.0,35,2,graduate,no,Approved
44.0,57275.01202749141,690.0,131361.0,17,3,graduate,no,Approved
